valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
1.00E-05,1938,0.88,['Benny Goodman'],0.298,73933,1,0,4jmpeJO5XS9MukFzhARGrS,0.889,6,0.403,-19.537,1,Applause; Benny Goodman's 'No Encore' Announcement - Live,7,1938,0.095,93.226
0.0171,1938,0.00985,['Benny Goodman'],0.191,59933,0.884,0,5vMr5fkLJIk7u0hqQKcI2f,0.843,1,0.412,-24.609,1,Applause; Setting Up & Tuning Up for BG Small Groups - Live,7,1938,0.486,79.205
1.00E-05,1938,0.461,['Benny Goodman'],0.201,62827,0.985,0,1RGSi9aDO691Hxb90Yi9VG,0.561,1,0.974,-25.159,1,Applause Until Encores - Live,6,1938,0.095,106.169
1.00E-05,1938,0.835,['Benny Goodman'],0.264,41093,1,0,3RFogvPJRYXVCv9qlotTKK,0.693,11,0.951,-22.887,0,Applause; Transition Back to Goodman Orchestra for Finale - Live,5,1938,0.0722,52.339
0.668,1938,0.831,['Benny Goodman'],0.69,253427,0.797,0,0LVNarppo2xHif0GRCCFzK,0.716,3,0.889,-9.853,1,Avalon - Live,7,1938,0.0315,125.644
0.703,1939,0.848,['The Munchkins'],0.608,46960,0.756,0,5qD8N9wgJ0ljWNvg0Be5yr,0.00513,7,0.741,-13.345,1,Ding-Dong! The Witch Is Dead - Reprise,23,25/8/1939,0.0625,132.315
0.732,1939,0.828,['The Munchkins'],0.401,43373,0.706,0,5z9NapDPfgsH9aD1MzXLPR,0.0276,10,0.789,-14.691,1,We Welcome You to the Munchkin Land,22,25/8/1939,0.0708,103.014
0.81,1940,0.967,['The Executor'],0.533,185835,0.602,0,416NGM98lMSM3EZwMHcGFL,0,2,0.401,-6.254,0,My Reply to Houdini,14,1/1/1940,0.155,91.608
0.371,1940,0.694,"['Duke Ellington', 'Duke Ellington Orchestra']",0.608,275133,0.618,0,0lU0eFIggcIiEO9QpUZwlQ,0.307,5,0.435,-14.926,0,The Flaming Sword,6,1/1/1940,0.137,110.737
0.848,1941,0.722,['Xavier Cugat & His Orchestra'],0.653,159440,0.659,0,7gqK69zw4A9js4dFV29zsL,0.633,7,0.798,-8.101,1,Jamay,11,1941,0.0409,153.824
0.712,1941,0.82,"['Adolph Green', 'Lady in the Dark Ensemble (1963)']",0.623,145760,0.604,0,3EPKegaKdvUTEK1RQDgiYa,0,2,0.725,-12.727,1,Tschaikowsky,3,1941,0.529,95.195
0.94,1941,0.669,['Xavier Cugat & His Orchestra'],0.729,181373,0.835,0,4hKch2lfgu7jT60ANFTshF,0.00683,2,0.431,-6.936,1,A Bailar Merengue,1,1941,0.0786,122.215
0.155,1941,0.00416,['Local Oafs'],0.0976,54335,0.991,0,0au2ii802F9XqGXlkxjQGC,0,7,0.627,-3.599,1,Valentines Day,0,6/6/1941,0.151,187.181
0.509,1941,0.0189,"['ÐžÐ¢Ð’ÐÐ› Ð‘ÐWKN', 'Cartier99', 'Lil Uzi Kop', 'Hackequation']",0.848,109217,0.739,0,0baFMrZLaxkwLKoKZrSry7,0.388,8,0.528,-4.924,1,Ð¥Ð°Ñ€Ð´Ð±Ð°ÑÑ Ñ…Ð¸Ñ‚,0,5/5/1941,0.245,150.035
0.909,1942,0.891,['Mina'],0.558,156500,0.659,0,23VPjXbRpZLkd6D80u8kCY,0.00401,9,0.419,-8.633,0,Vorrei sapere perchÃ¨,4,13/11/1942,0.0718,155.61
0.424,1942,0.668,"['Mohammed Rafi', 'Mehmood']",0.321,402227,0.888,0,3TQw59tdrtW1KemwLPRUgo,0.0668,2,0.56,-10.124,1,Saj Rahi Gali Meri Maa,2,1/12/1942,0.367,99.78
0.96,1942,0.892,"['Asha Bhosle', 'Mohammed Rafi']",0.762,170005,0.684,0,0CCHyHsOEq0cAANJNKUBSy,0.000134,4,0.625,-6.297,1,Aa Dance Karen Thora Romance Karen,1,1/12/1942,0.061,103.514
0.828,1943,0.916,['Dooley Wilson'],0.698,76533,0.605,0,3T5Lb649Q6dkYO7oeojvCD,0,5,0.897,-10.259,1,Knock On Wood,18,23/1/1943,0.253,89.608
0.18,1943,0.00402,['××•×ž×Ÿ ×”××•×¨ ×•×ž×œ×š ×”×¡×‘×•×Ÿ'],0.401,188653,0.951,0,0YziX3ZU71oG6pJLPv4rTd,0.00816,4,0.838,-5.335,1,B.C,0,9/5/1943,0.0958,137.205
0.262,1944,0.599,['DYING SPASM'],0.293,380402,0.675,0,0Rpa5IK8WtxVcNpqROebqJ,0.9,1,0.617,-1.53,1,usurper rapture,0,9/6/1944,0.144,139.918
0.972,1947,0.705,['Frankie Yankovic'],0.749,122693,0.695,0,7qR4Brxns9YrtIfhvf0BzH,0,9,0.834,-9.786,1,Who Stole The Keeshka?,15,1947,0.0577,124.665
0.961,1948,0.826,['Rosemary Clooney'],0.527,116933,0.633,0,3GVyT9fBXuEkGs1STo2WHZ,0,10,0.422,-8.56,0,Come On-A My House,45,1948,0.114,183.174
0.344,1948,0.94,['Dizzy Gillespie'],0.413,310573,0.753,0,2IoW9tLOyVAxpw23HnoN1o,0.0606,1,0.957,-9.499,1,Ool-Ya-Koo - Live,4,1948,0.346,99.034
0.361,1948,0.86,['Dizzy Gillespie'],0.469,197027,0.784,0,4Kql6UVUUgK0VyzdmKwsLU,0.892,10,0.97,-7.545,0,Algo Bueno - Woody'n You - Live,5,1948,0.279,80.647
0.31,1948,0.94,['Dizzy Gillespie'],0.428,242160,0.669,0,04a4EprVwS04gq4CEnZcRE,0.775,7,0.909,-10.539,1,Two Bass Hit - Live,3,1948,0.0854,93.148
0.226,1948,0.869,['Dizzy Gillespie'],0.337,187680,0.865,0,0wn3VZC3t3XolKBw2koTL0,0.467,0,0.91,-6.623,1,Things to Come - Live,3,1948,0.152,81.027
0.608,1949,0.745,['PÃ©rez Prado'],0.639,185013,0.828,0,3xyrxS6YnI9r3nsuC6W4Tm,0.812,5,0.442,-7.212,1,QuÃ© Rico el Mambo,30,1949,0.138,125.475
0.669,1949,0.704,['Charlie Parker'],0.494,736333,0.617,0,6sWPEESxYfezqOL9KY5dUg,0.0997,10,0.901,-12.812,1,"Lester Leaps In - Live At Carnegie Hall, New York / 1949",13,1949,0.0946,131.452
0.392,1950,0.517,"['Zsa Zsa Padilla', 'Freestyle']",0.51,258707,0.637,0,5bM6kxUaqFlL5X3AXmGjNM,0,1,0.811,-8.787,0,Incomplete,26,1/1/1950,0.0471,128.311
0.171,1950,0.00012,['Ouija Macc'],0.656,187606,0.799,1,3jpdb0kuS4ZRBimH10lBG3,0,1,0.638,-4.37,1,Trashfire,12,30/4/1950,0.0312,141.995
0.541,1950,0.257,['Ouija Macc'],0.817,115622,0.775,1,63v1HKolYWykUxOiIOk8hV,3.04E-05,1,0.471,-2.712,1,Fucc Me Over,12,30/4/1950,0.0438,108.059
0.64,1950,0.139,"['Zsa Zsa Padilla', 'Freestyle', 'Lani Misalucha']",0.592,305147,0.891,0,1QRgiQ0za0TPs4R2ZJbvqo,1.40E-06,7,0.977,-7.237,1,Best Of My Love,25,1/1/1950,0.0668,117.338
0.803,1951,0.76,['Thelonious Monk'],0.61,183827,0.637,0,5T0ok4NXdoObPuAz4RIoRo,0.0052,0,0.423,-6.365,0,Evonce - Alternate Take/Rudy Van Gelder 24-Bit Mastering/2001 Digital Remaster,21,1951,0.107,100.471
0.699,1952,0.682,"[""Donald O'Connor""]",0.632,198067,0.605,0,7Llst69TWS7mfdSUrh94Vs,2.13E-05,8,0.506,-11.519,1,Make 'Em Laugh,27,11/4/1952,0.0997,78.898
0.891,1953,0.76,['Percy Faith & His Orchestra'],0.501,168493,0.691,0,1RWg0d6f3GkPHWTW38TcFt,0.928,9,0.517,-12.571,1,Delicado,19,1953,0.0303,100.341
0.452,1953,0.831,['Jimmy & Walter'],0.487,177831,0.645,0,0AhJUiw9bNh8aT7KPbtUqH,0.537,10,0.519,-5.844,1,Easy,8,1/1/1953,0.0359,81.373
0.697,1953,0.109,"['Miles Davis', 'Lighthouse All Stars']",0.466,247600,0.678,0,3g17sqgd5vtZM7zJSbOj7y,0.808,6,0.724,-15.287,1,Drum Conversation,13,13/9/1953,0.0856,138.601
0.546,1955,0.923,['Erroll Garner'],0.438,257693,0.602,0,7pQSmQ0l7QdBeL9X6CEMbH,0.658,8,0.95,-14.565,1,"I'll Remember April - Original Edited Concert - Live at Sunset School, Carmel-by-the-Sea, CA, September 1955",25,1955,0.0408,122.289
0.513,1955,0.915,['Erroll Garner'],0.542,208733,0.603,0,53mteKpIw5OEV9JUbZ30F5,0.392,5,0.948,-13.784,0,"It's All Right with Me - Original Edited Concert - Live at Sunset School, Carmel-by-the-Sea, CA, September 1955",22,1955,0.0455,135.533
0.794,1955,0.834,"['Danny Kaye', 'The Jud Conlon Singers']",0.556,170000,0.691,0,31tOJ07GCOLlG7jEKexPit,4.81E-06,5,0.412,-7.783,1,Outfox The Fox,17,1/1/1955,0.239,141
0.842,1957,0.694,"['Louis Prima', 'Keely Smith', 'Sam Butera & The Witnesses']",0.55,256760,0.702,0,2mebFHrlB8e9dFPoihLbGY,2.82E-06,1,0.649,-8.479,1,Angelina / Zooma Zooma,36,1/11/1957,0.395,130.73
0.95,1958,0.733,['Elvis Presley'],0.357,136027,0.756,0,64Ny7djQ6rNJspquof2KoX,0.00505,0,0.76,-8.492,1,Hound Dog,69,21/3/1958,0.0621,174.797
0.961,1958,0.611,['Buddy Holly'],0.566,109960,0.711,0,33aYzW5ToRjiFOzkubeJ8H,6.59E-06,0,0.417,-6.536,1,Rave On,57,1958,0.0335,159.629
0.859,1958,0.842,['Elvis Presley'],0.61,113480,0.699,0,32CVurlBxtEYQlDm3yzCLl,1.85E-06,0,0.501,-8.739,1,Hard Headed Woman,50,19/9/1958,0.176,97.924
0.926,1958,0.56,['Frankie Lymon'],0.534,160280,0.718,0,6VdJa3dGUSw7Ju141CYTJv,0,7,0.609,-9.273,0,Little Bitty Pretty One,38,1958,0.0961,163.989
0.84,1958,0.31,['Miles Davis'],0.466,310733,0.874,0,0DtEf3aHfOgaCFJQO98x0c,0.163,1,0.423,-4.423,1,Two Bass Hit,40,1958-04,0.149,92.233
0.416,1959,0.753,['The Isley Brothers'],0.489,268560,0.866,0,2ZNTPtYmAhN9vCwnAgqKn1,0,10,0.876,-7.433,1,"Shout, Pts. 1 & 2",62,21/8/1959,0.0933,138.63
0.865,1960,0.698,['Ella Fitzgerald'],0.691,142547,0.704,0,3SKKn2RJgtKoxX4t6S35VI,0,7,0.693,-6.373,1,Jingle Bells,44,1/1/1960,0.0634,119.059
0.806,1960,0.816,['Los Cinco Latinos'],0.404,136385,0.608,0,71gelPDcvJSiTCC08vcdA3,4.73E-05,10,0.666,-6.958,1,QuiÃ©reme Siempre,48,20/10/1960,0.0389,154.417
0.951,1960,0.435,['Jim & Jesse'],0.644,129360,0.686,0,4hloQEApxIXnB66RSrdtXn,1.21E-05,7,0.485,-7.253,1,She Left Me Standing On the Mountain,33,1960,0.0303,125.151
0.811,1960,0.214,"['Jim & Jesse', 'The Virginia Boys']",0.53,160160,0.668,0,6ASifFs9LjXe5sPOiCMGkW,0,4,0.695,-6.309,1,Rabbit In the Log (with The Virginia Boys),33,1960,0.0324,150.743
0.795,1960,0.843,['Elvis Presley'],0.473,156507,0.606,0,1pXmyG43Z3b8w4NLpBD9gg,0,11,0.461,-10.039,1,G.I. Blues,36,23/9/1960,0.189,146.635
0.638,1960,0.473,['Roy Hamilton'],0.489,165933,0.706,0,2MAoJ97inXy07VArmGOfKe,0,3,0.621,-12.636,1,You Can Have Her,34,1/4/1960,0.057,101.593
0.963,1961,0.73,['Sam Cooke'],0.703,155173,0.724,0,7v1858htfU0srTDwhxeka8,0,7,0.518,-10.818,1,Chain Gang,56,1961-03,0.0467,131.821
0.901,1961,0.809,['The Miracles'],0.552,170760,0.7,0,47IRIQxGDe2Sc6F4pe2FMf,0,7,0.805,-4.533,1,Shop Around,51,1/1/1961,0.0295,132.005
0.692,1961,0.22,['Jerry Butler'],0.612,170093,0.601,0,2ZJZcqM60OwgqTO1OvJpHL,0,8,0.446,-9.095,0,He Will Break Your Heart,33,1/1/1961,0.0425,130.939
0.912,1962,0.623,['Solomon Burke'],0.733,154907,0.624,0,1tYk5zABu6h8CMP1cSea56,0,4,0.407,-9.849,1,Cry to Me,59,1962,0.0374,114.586
0.821,1962,0.571,['Quincy Jones'],0.551,166590,0.722,0,0Jw3cPBXlGnA6DEJrZSTI0,0.000306,5,0.629,-9.247,0,Soul Bossa Nova,57,1/1/1962,0.0529,153.181
0.691,1962,0.502,['John Zacherle'],0.642,146133,0.809,0,3CN8u65YzXTFOf0MVBM6ma,0,1,0.702,-4.789,1,Happy Halloween,42,1/1/1962,0.0996,85.249
0.74,1962,0.639,['Sam Cooke'],0.658,154733,0.679,0,11ySLUasdCrByA0FRKukBd,0,10,0.515,-6.919,1,Movin' and a'Groovin',39,1962-04,0.0562,118.154
0.877,1962,0.753,['Sam Cooke'],0.464,140667,0.727,0,21wnBjfnAP77ycs5NSNX7A,0,10,0.403,-8.32,1,A Whole Lotta Woman,39,1962-04,0.0561,136.131
0.559,1963,0.228,['The Ronettes'],0.382,136307,0.879,0,7n5m8nDAnyXo81tr4B3Bcw,0,7,0.408,-7.584,1,Frosty the Snowman,66,1963,0.0642,143.741
0.965,1963,0.652,['Lesley Gore'],0.675,96000,0.64,0,0AZb6ryK8LsFcvY1jWHO61,0,7,0.461,-8.742,1,"Sunshine, Lollipops And Rainbows",54,1/11/1963,0.0544,119.7
0.822,1963,0.607,['The Beatles'],0.402,146440,0.86,0,7JxGM1R32ZqfwZou3VtnTg,0,4,0.736,-10.31,1,Boys - Remastered 2009,49,22/3/1963,0.0504,142.445
0.961,1963,0.213,['The Beatles'],0.471,126827,0.817,0,5vl0sRtrQM1BTSAxQZFqEN,0,7,0.498,-9.999,1,Not A Second Time - Remastered 2009,46,22/11/1963,0.0372,124.848
0.541,1963,0.346,['Sam Cooke'],0.303,311773,0.744,0,5YOdDTcnCGOBm1SvzIVuPs,0,0,0.782,-5.813,1,"Medley: It's All Right / For Sentimental Reasons - Live at the Harlem Square Club, Miami, FL - January 1963",43,16/8/1963,0.0394,93.348
0.691,1963,0.719,['Bob B. Soxx & The Blue Jeans'],0.45,123747,0.848,0,0BZADNTotC07pQ6PFGRLGS,4.39E-06,9,0.461,-5.763,1,Here Comes Santa Claus,47,1963,0.0418,162.972
0.881,1964,0.52,['Jay & The Americans'],0.636,166667,0.684,0,252YuUdUaC5OojaBU0H1CP,0.0015,3,0.534,-9.302,1,Come A Little Bit Closer,67,1964,0.057,132.509
0.73,1964,0.76,['The Supremes'],0.595,158040,0.643,0,5uES1C2NgkdrNHiCwf9jRr,0,5,0.538,-9.275,1,Baby Love,68,31/8/1964,0.0365,135.633
0.912,1964,0.623,['Solomon Burke'],0.733,154907,0.624,0,0sDeU2murnLh4yVHQ5IV70,0,4,0.407,-9.849,1,Cry to Me,59,1964,0.0374,114.586
0.601,1964,0.619,['Irma Thomas'],0.518,172667,0.622,0,6IpxLzChgCbFSJwso2Q84D,0.00992,0,0.513,-8.805,1,Time Is On My Side,52,1964,0.0349,95.958
0.92,1964,0.867,['The Dubliners'],0.625,154987,0.836,0,6Mer1LOfJDd7vUbeWXODrq,0.00218,11,0.684,-6.416,0,The Rocky Road to Dublin - Live,55,1/1/1964,0.383,142.749
0.744,1964,0.366,['The Beatles'],0.612,131280,0.719,0,70XHAdaMaoLIOVb1hSaeJ4,3.88E-06,2,0.437,-7.026,1,Any Time At All - Remastered 2009,48,10/7/1964,0.0398,141.016
0.963,1964,0.723,['Chuck Berry'],0.477,143307,0.895,0,2lDArps4owX3Q6rOIA4Osp,0,0,0.791,-6.63,1,Promised Land,47,1/11/1964,0.0586,167.201
0.689,1964,0.272,['The Dillards'],0.454,168720,0.601,0,1xRgiVZdboVguGvZfFtAxr,2.76E-05,2,0.923,-10.888,0,"There Is a Time - Recorded at the Mecca, Los Angeles",38,1964,0.0341,132.614
0.924,1964,0.614,['The Beatles'],0.588,158147,0.724,0,5xf0zdP4KCfshyVn02D3Ea,8.92E-05,7,0.877,-6.63,1,Kansas City / Hey-Hey-Hey-Hey - Medley / Remastered 2009,45,4/12/1964,0.0335,131.36
0.518,1965,0.0929,['The Animals'],0.513,149360,0.775,0,7vYA9ET5AUqJt5pBbhKmcB,0,11,0.404,-5.137,0,Don't Let Me Be Misunderstood,56,1/9/1965,0.0284,112.194
0.439,1965,0.144,['The Rolling Stones'],0.327,221493,0.92,0,7foiOmd1Je7Z0D3TaZCDro,0.84,9,0.774,-5.223,1,The Last Time - Mono Version,52,30/7/1965,0.0611,167.972
0.969,1965,0.583,['The Beach Boys'],0.634,136107,0.795,0,67HRoUJMVorQPymcqdkJVA,9.71E-06,5,0.51,-5.423,1,You're So Good To Me - Remastered,47,5/7/1965,0.0336,118.707
0.712,1965,0.791,['Joe Cuba Sextet'],0.618,246600,0.911,0,0gbeHMR4ESdykYOwWQ3PBw,5.63E-05,3,0.703,-4.222,1,Bang! Bang!,48,31/12/1965,0.0922,127.344
0.748,1966,0.724,['Jr. Walker & The All Stars'],0.611,182440,0.645,0,5Rb211KhnOhLLXPpt8awxU,0,1,0.715,-8.254,1,How Sweet It Is (To Be Loved By You),62,1/1/1966,0.0634,125.156
0.683,1966,0.0305,['The Monkees'],0.239,164093,0.618,0,3h4t9qpFktohHeUQc3hZCa,0,0,0.721,-8.464,1,Last Train to Clarksville - Original Stereo Version; 2006 Remaster,51,10/10/1966,0.033,197.499
0.37,1966,0.21,['The Byrds'],0.364,214640,0.768,0,2BGNomqCxEDcXyxf8bg27k,0.136,9,0.503,-10.492,1,Eight Miles High,55,18/7/1966,0.0757,130.602
0.672,1966,0.103,['The Beatles'],0.329,156040,0.678,0,3VSuWxZM6x6V3ig5nYtikL,0.168,3,0.843,-7.878,1,She Said She Said - Remastered 2009,54,5/8/1966,0.0344,106.476
0.871,1966,0.298,"[""Herman's Hermits""]",0.555,153453,0.639,0,3QzPRTZ6hocM2nTZYkdIq7,0.000645,0,0.638,-7.867,1,There's A Kind Of Hush,47,1/1/1966,0.0313,129.173
0.926,1966,0.68,['Pete Rodriguez'],0.596,265080,0.7,0,6Wy3X4jSszfisnRscJCHdq,0.000277,5,0.623,-4.911,0,I Like It Like That,57,31/12/1966,0.0323,133.45
0.228,1966,0.487,['Napoleon XIV'],0.821,134067,0.707,0,794O0j1i57zgUMC7BCBMqY,0,1,0.536,-17.299,1,"They're Coming to Take Me Away, Ha-Haaa!",46,23/5/1966,0.269,107.03
0.635,1966,0.059,['The Rolling Stones'],0.465,202120,0.754,0,1Xdhp215nsdETJ17AtC7ve,0.00421,4,0.409,-10.541,0,"Paint It, Black",47,28/3/1966,0.081,158.93
0.826,1966,0.18,['Marvin Gaye'],0.563,179693,0.776,0,1yyJNEU2gWG6QiJkhPwrde,0,9,0.618,-9.391,1,Ain't That Peculiar - Single Version,46,23/5/1966,0.0414,81.129
0.297,1966,0.18,['The Monkees'],0.456,139093,0.692,0,1vO6HIxVjwj25N1r2KCSEF,0,7,0.771,-8.132,1,(Theme From) The Monkees - Original Stereo Version; 2006 Remaster,40,10/10/1966,0.0533,83.039
0.477,1966,0.506,['The Mothers Of Invention'],0.311,350053,0.775,0,2j25bv2cpByJLaNZRKEBwR,0,2,0.897,-12.683,1,Trouble Every Day,46,27/6/1966,0.076,121.352
0.971,1966,0.569,['Little Richard'],0.547,194640,0.806,0,2Dnsu9fl9UurKA3uHvgEjy,0.000146,5,0.427,-8.947,1,Get Down with It,37,1966,0.0418,141.78
0.806,1966,0.00185,['Paul Revere & The Raiders'],0.45,171027,0.734,0,2hrMZmKb5BX5ILM0JWjv6G,0.00409,2,0.504,-8.889,1,I'm Not Your Stepping Stone,41,9/5/1966,0.0373,133.887
0.799,1967,0.519,"['Johnny Cash', 'June Carter Cash']",0.741,165827,0.615,0,5fcxVCOtfesNzI2n4Y4kiJ,0.000344,0,0.407,-8.072,1,Jackson,63,1/8/1967,0.0358,128.496
0.806,1967,0.306,['The Beatles'],0.479,208840,0.733,0,0vZ97gHhemKm6c64hTfJNA,2.40E-05,0,0.414,-8.753,1,"Hello, Goodbye - Remastered 2009",65,27/11/1967,0.0256,99.307
0.583,1967,0.0857,['The Beatles'],0.451,122893,0.673,0,4fUKE8EULjQdHF4zb0M8FO,0.00225,7,0.797,-9.115,1,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,64,1/6/1967,0.0734,95.513
0.454,1967,0.504,['Jimi Hendrix'],0.461,168920,0.714,0,3qebSLgUwaEqbwCM5sj5Kh,0.0171,11,0.684,-9.159,0,Castles Made of Sand,62,1/12/1967,0.313,94.372
0.493,1967,0.00428,['Jimi Hendrix'],0.39,334520,0.648,0,0J3CHAStO3pNGTnYnxKZod,0.0531,8,0.689,-9.789,1,If 6 Was 9,54,1/12/1967,0.137,103.496
0.805,1967,0.0504,['Jimi Hendrix'],0.405,183320,0.831,0,2KFE98Iw0X23sf4vJYcbLH,0.0918,5,0.805,-5.293,0,Spanish Castle Magic,52,1/12/1967,0.0671,130.856
0.691,1967,0.809,['The Cowsills'],0.376,184240,0.662,0,5Ozv6hQIj20iX3nFfJCe8E,0.00131,11,0.683,-8.771,1,The Rain The Park And Other Things,50,1/1/1967,0.0404,131.582
0.879,1967,0.0061,['The Beatles'],0.653,79067,0.889,0,42ocGQCOT0xYtV3f5kJDsD,0.589,0,0.892,-8.006,1,Sgt. Pepper's Lonely Hearts Club Band - Reprise / Remastered 2009,51,1/6/1967,0.0453,118.773
0.93,1967,0.0858,['The Beatles'],0.542,161227,0.618,0,0xIuNHHcKI1JDuBPlSwzb1,0,2,0.772,-8.876,1,Good Morning Good Morning - Remastered 2009,50,1/6/1967,0.139,121.849
0.281,1968,0.000606,['The Beatles'],0.166,269787,0.831,0,0Bs0hUYxz7REyIHH7tRhL2,0.846,9,0.811,-8.469,1,Helter Skelter - Remastered 2009,62,22/11/1968,0.0894,167.518
0.839,1968,0.413,['Cream'],0.391,258467,0.756,0,6PUabSMXmPnZna361Wwmf7,0.0418,7,0.879,-11.317,1,Crossroads - Live,61,1/7/1968,0.0648,131.648
0.695,1968,0.0785,['The Beatles'],0.386,255707,0.626,0,1aOzDhi5a1RWWRy5dmYA8I,0.00164,9,0.621,-9.451,1,Revolution 1 - Remastered 2009,52,22/11/1968,0.0377,98.425
0.788,1968,0.0805,['The Moody Blues'],0.334,219227,0.872,0,6tMNYGXJ1L6wjbSkAXWyHh,0.301,5,0.847,-10.4,1,Ride My See-Saw,47,26/7/1968,0.0371,154.816
0.833,1968,0.202,['Jimi Hendrix'],0.41,249373,0.821,0,0KqHJXm4Z42fELkW83ZW0r,0.0367,11,0.43,-8.557,0,Come On (Let the Good Times Roll),49,25/10/1968,0.194,148.665
